Date,QQQ,SPY
2022-05-09,290.48394775390625,378.92315673828125
2022-05-10,294.0129699707031,379.7986755371094
2022-05-11,285.29302978515625,373.76519775390625
2022-05-12,284.6185302734375,373.37493896484375
2022-05-13,295.1664733886719,382.3016052246094
2022-05-16,291.7449951171875,380.7503662109375
2022-05-17,299.30157470703125,388.58251953125
2022-05-18,284.6087646484375,372.918212890625
2022-05-19,283.083740234375,370.6341857910156
2022-05-20,282.2039794921875,370.7959899902344
2022-05-23,286.896240234375,377.7336730957031
2022-05-24,280.79620361328125,374.85009765625
2022-05-25,284.7261047363281,378.161865234375
2022-05-26,292.6149597167969,385.7181091308594
2022-05-27,302.16583251953125,395.1870422363281
2022-05-31,301.3642272949219,392.9697265625
2022-06-01,299.1353759765625,389.7911682128906
2022-06-02,307.32733154296875,397.21417236328125
2022-06-03,299.33099365234375,390.6951904296875
2022-06-06,300.3280029296875,391.88482666015625
2022-06-07,302.9185485839844,395.64385986328125
2022-06-08,300.73858642578125,391.3423767089844
2022-06-09,292.6834411621094,382.0351257324219
2022-06-10,282.3603515625,370.9577941894531
2022-06-13,269.2315979003906,356.8731384277344
2022-06-14,269.7204284667969,355.79779052734375
2022-06-15,276.45587158203125,360.8702087402344
2022-06-16,265.30181884765625,348.9267578125
2022-06-17,268.52777099609375,349.6789245605469
2022-06-21,275.3025817871094,358.4816589355469
2022-06-22,274.9010314941406,357.8317565917969
2022-06-23,278.9950866699219,361.33941650390625
2022-06-24,288.554443359375,372.8277893066406
2022-06-27,286.4388732910156,371.40374755859375
2022-06-28,277.71209716796875,363.81488037109375
2022-06-29,277.9667053222656,363.5185852050781
2022-06-30,274.51904296875,360.5653076171875
2022-07-01,276.3310241699219,364.3787841796875
2022-07-05,281.0617370605469,365.0669250488281
2022-07-06,282.8638916015625,366.2998962402344
2022-07-07,288.9169006347656,371.7860107421875
2022-07-08,289.2792663574219,371.480224609375
2022-07-11,283.0989685058594,367.2364807128906
2022-07-12,280.35650634765625,363.98687744140625
2022-07-13,279.7786865234375,362.0753173828125
2022-07-14,280.7777404785156,361.196044921875
2022-07-15,285.8708190917969,368.0967102050781
2022-07-18,283.4515686035156,365.057373046875
2022-07-19,292.168701171875,374.9209899902344
2022-07-20,296.80145263671875,377.31036376953125
2022-07-21,301.06201171875,381.1526794433594
2022-07-22,295.7828063964844,377.6161804199219
2022-07-25,294.09814453125,378.07501220703125
2022-07-26,288.3194580078125,373.6019592285156
2022-07-27,300.50372314453125,383.3030700683594
2022-07-28,303.4421081542969,388.110595703125
2022-07-29,308.9759521484375,393.768798828125
2022-08-01,308.7898254394531,392.60272216796875
2022-08-02,307.86920166015625,390.0126037597656
2022-08-03,316.25323486328125,396.1199645996094
2022-08-04,317.7322082519531,395.8524169921875
2022-08-05,315.1366882324219,395.183349609375
2022-08-08,314.1180419921875,394.7245788574219
2022-08-09,310.5626220703125,393.1570739746094
2022-08-10,319.2307434082031,401.4149475097656
2022-08-11,317.4187316894531,401.4149475097656
2022-08-12,323.59912109375,408.21051025390625
